1777046648.392 APP_START pkg=com.google.android.apps.nexuslauncher pid=29885 tgid=29885 uid=10229 comm=s.nexuslauncher cpu=7
1777046648.393 APP_START pkg=com.tencent.mobileqq pid=32065 tgid=31881 uid=10281 comm=RMonitor_Monito cpu=5
1777046648.393 APP_START pkg=com.google.android.apps.nexuslauncher pid=29918 tgid=29885 uid=10229 comm=RenderThread cpu=6
1777046648.393 APP_START pkg=com.tencent.mobileqq pid=31881 tgid=31881 uid=10281 comm=encent.mobileqq cpu=7
1777046648.394 APP_START pkg=com.tencent.mobileqq:MSF pid=19783 tgid=19651 uid=10281 comm=MsfProbeThread cpu=0
1777046648.394 APP_START pkg=com.tencent.mobileqq pid=31940 tgid=31881 uid=10281 comm=NtStartup_pool_ cpu=5
1777046648.396 APP_START pkg=com.android.systemui pid=2021 tgid=2021 uid=10227 comm=ndroid.systemui cpu=7
1777046648.396 APP_START pkg=com.tencent.mobileqq pid=32161 tgid=31881 uid=10281 comm=pool-10-thread- cpu=7
1777046648.397 APP_START pkg=com.tencent.mobileqq:MSF pid=19757 tgid=19651 uid=10281 comm=MSF_StatReportT cpu=3
1777046648.397 APP_START pkg=com.tencent.mobileqq pid=31940 tgid=31881 uid=10281 comm=NtStartup_pool_ cpu=6
1777046648.398 APP_START pkg=com.tencent.mobileqq:MSF pid=19783 tgid=19651 uid=10281 comm=MsfProbeThread cpu=3
1777046648.398 APP_START pkg=com.tencent.mobileqq pid=31881 tgid=31881 uid=10281 comm=encent.mobileqq cpu=7
1777046648.399 APP_START pkg=com.tencent.mobileqq:MSF pid=19757 tgid=19651 uid=10281 comm=MSF_StatReportT cpu=4
1777046648.401 APP_START pkg=com.tencent.mobileqq pid=32164 tgid=31881 uid=10281 comm=allocateBuffers cpu=0
1777046648.401 APP_START pkg=com.tencent.mobileqq:MSF pid=29406 tgid=19651 uid=10281 comm=binder:19651_10 cpu=3
1777046648.402 APP_START pkg=com.tencent.mobileqq pid=32161 tgid=31881 uid=10281 comm=pool-10-thread- cpu=0
1777046648.403 APP_START pkg=com.tencent.mobileqq:MSF pid=19779 tgid=19651 uid=10281 comm=MsfServiceAppMs cpu=2
1777046648.404 APP_START pkg=com.tencent.mobileqq pid=32078 tgid=31881 uid=10281 comm=binder:31881_4 cpu=7
1777046648.404 APP_START pkg=com.tencent.mobileqq:MSF pid=19757 tgid=19651 uid=10281 comm=MSF_StatReportT cpu=2
1777046648.406 APP_START pkg=com.google.android.as pid=3158 tgid=2762 uid=10128 comm=aiai-app-predic cpu=2
1777046648.407 APP_START pkg=com.google.android.apps.nexuslauncher pid=29885 tgid=29885 uid=10229 comm=s.nexuslauncher cpu=7
1777046648.407 APP_START pkg=com.tencent.mobileqq:MSF pid=19757 tgid=19651 uid=10281 comm=MSF_StatReportT cpu=2
1777046648.408 APP_START pkg=com.tencent.mobileqq pid=32078 tgid=31881 uid=10281 comm=binder:31881_4 cpu=6
1777046648.408 APP_START pkg=com.google.android.apps.nexuslauncher pid=29918 tgid=29885 uid=10229 comm=RenderThread cpu=4
1777046648.408 APP_START pkg=com.tencent.mobileqq pid=32164 tgid=31881 uid=10281 comm=allocateBuffers cpu=6
1777046648.410 APP_START pkg=com.google.android.as pid=3158 tgid=2762 uid=10128 comm=aiai-app-predic cpu=3
1777046648.411 APP_START pkg=com.tencent.mobileqq:MSF pid=19779 tgid=19651 uid=10281 comm=MsfServiceAppMs cpu=3
1777046648.412 APP_START pkg=com.tencent.mobileqq pid=32169 tgid=31881 uid=10281 comm=RecentThreadDis cpu=7
1777046648.413 APP_START pkg=com.tencent.mobileqq:MSF pid=19779 tgid=19651 uid=10281 comm=MsfServiceAppMs cpu=1
1777046648.413 APP_START pkg=com.google.android.as pid=3158 tgid=2762 uid=10128 comm=aiai-app-predic cpu=2
1777046648.413 APP_START pkg=com.tencent.mobileqq:MSF pid=19816 tgid=19651 uid=10281 comm=pool-9-thread-3 cpu=0
1777046648.414 APP_START pkg=com.tencent.mobileqq pid=31921 tgid=31881 uid=10281 comm=binder:31881_3 cpu=0
1777046648.415 APP_START pkg=com.tencent.mobileqq:MSF pid=19816 tgid=19651 uid=10281 comm=pool-9-thread-3 cpu=3
1777046648.415 APP_START pkg=com.tencent.mobileqq pid=32018 tgid=31881 uid=10281 comm=RenderThread cpu=7
1777046648.415 APP_START pkg=com.tencent.mobileqq:MSF pid=19779 tgid=19651 uid=10281 comm=MsfServiceAppMs cpu=2
1777046648.416 APP_START pkg=com.tencent.mobileqq pid=31881 tgid=31881 uid=10281 comm=encent.mobileqq cpu=6
1777046648.416 APP_START pkg=com.tencent.mobileqq:MSF pid=19757 tgid=19651 uid=10281 comm=MSF_StatReportT cpu=2
