# tracer: nop
#
# entries-in-buffer/entries-written: 1818/77669   #P:8
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
          <idle>-0       [007] ..s1. 44551.634825: block_rq_complete: 8,0 R () 11872136 + 48 [0]
  surfaceflinger-600     [007] ..... 44551.637482: binder_transaction: transaction=3959925 dest_node=449 dest_proc=604 dest_thread=0 reply=0 flags=0x10 code=0x23
  surfaceflinger-600     [007] ..... 44551.637535: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
  surfaceflinger-600     [007] ..... 44551.637547: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=0
  HwBinder:604_2-658     [007] ..... 44551.637581: binder_transaction_received: transaction=3959925
  HwBinder:604_2-658     [007] ..... 44551.638419: binder_transaction: transaction=3959933 dest_node=0 dest_proc=600 dest_thread=600 reply=1 flags=0x0 code=0x0
  HwBinder:604_2-658     [007] ..... 44551.638473: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
  HwBinder:604_2-658     [007] ..... 44551.638513: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  HwBinder:604_2-658     [007] ..... 44551.638522: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  surfaceflinger-600     [007] ..... 44551.638558: binder_transaction_received: transaction=3959933
   Dns_100_10167-25656   [007] ..... 44551.650948: binder_transaction: transaction=3959942 dest_node=12103 dest_proc=1216 dest_thread=0 reply=0 flags=0x11 code=0x1
   Dns_100_10167-25656   [007] ..... 44551.650961: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
   Dns_100_10167-25656   [007] ..... 44551.650976: binder_transaction: transaction=3959943 dest_node=12747 dest_proc=1216 dest_thread=0 reply=0 flags=0x11 code=0x1
   Dns_100_10167-25656   [007] ..... 44551.650986: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
##### CPU 6 buffer started ####
    RenderThread-25167   [006] ..... 44551.693325: binder_transaction: transaction=3960010 dest_node=532 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x8
    RenderThread-25167   [006] ..... 44551.693405: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
   kworker/u16:1-24965   [007] ..... 44551.704872: block_rq_issue: 8,0 R 57344 () 11876928 + 112 [kworker/u16:1]
     ksoftirqd/7-70      [007] ..s.. 44551.705106: block_rq_complete: 8,0 R () 11876928 + 112 [0]
  binder:25132_3-25144   [007] ..... 44551.707737: binder_transaction_received: transaction=3960018
  binder:25132_3-25144   [007] ..... 44551.708104: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
    RenderThread-25167   [006] ..... 44551.711589: binder_transaction: transaction=3960019 dest_node=532 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x8
    RenderThread-25167   [006] ..... 44551.711682: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
