"frame_type","frame_token","intended_vsync","expected_start","expected_end","actual_end","is_jank","delay_ms"
"SF",3184061,448225381827106,448225381827106,448225398493772,448225369486032,1,-12.341074
"SF",3184080,448225398539071,448225398539071,448225415205737,448225385521107,1,-13.017964
"SF",3184099,448225415237059,448225415237059,448225431903725,448225400723825,1,-14.513234
"SF",3184118,448225431942074,448225431942074,448225448608740,448225418838612,1,-13.103462
"SF",3184137,448225448644273,448225448644273,448225465310939,448225436015777,1,-12.628496
"SF",3184156,448225465337644,448225465337644,448225482004310,448225452265248,1,-13.072396
"SF",3184175,448225482044914,448225482044914,448225498711580,448225469282378,1,-12.762536
"SF",3184194,448225498741034,448225498741034,448225515407700,448225484580718,1,-14.160316
"SF",3184207,448225515453169,448225515453169,448225532119835,448225502436553,1,-13.016616
"SF",3184220,448225532160352,448225532160352,448225548827018,448225518020212,1,-14.140140
"SF",3184233,448225548862373,448225548862373,448225565529039,448225535341054,1,-13.521319
"SF",3184246,448225565556888,448225565556888,448225582223554,448225553312774,1,-12.244114
"SF",3184259,448225582263845,448225582263845,448225598930511,448225569536122,1,-12.727723
"SF",3184272,448225598964008,448225598964008,448225615630674,448225584696115,1,-14.267893
"SF",3184285,448225615666125,448225615666125,448225632332791,448225602501332,1,-13.164793
"SF",3184298,448225632368200,448225632368200,448225649034866,448225619881500,1,-12.486700
"SF",3184311,448225649071304,448225649071304,448225665737970,448225634980051,1,-14.091253
"SF",3184324,448225665770108,448225665770108,448225682436774,448225652959218,1,-12.810890
"SF",3184532,448226150221892,448226150221892,448226166888558,448226135144643,1,-15.077249
"SF",3184545,448226166932481,448226166932481,448226183599147,448226154068552,1,-12.863929
"SF",3184668,448226417665891,448226417665891,448226434332557,448226402856191,1,-14.809700
"SF",3184681,448226434371630,448226434371630,448226451038296,448226419128814,1,-15.242816
"SF",3184694,448226451091824,448226451091824,448226467758490,448226437856679,1,-13.235145
"SF",3184707,448226467797779,448226467797779,448226484464445,448226454517771,1,-13.280008
"SF",3184720,448226484503800,448226484503800,448226501170466,448226470361887,1,-14.141913
