# tracer: nop
#
# entries-in-buffer/entries-written: 3089/3089   #P:8
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
          <idle>-0       [006] dn.1. 253154.854009: cpu_idle: state=4294967295 cpu_id=6
          <idle>-0       [005] d..1. 253154.854015: cpu_idle: state=0 cpu_id=5
          traced-1308    [004] d..2. 253154.854017: sched_switch: prev_comm=traced prev_pid=1308 prev_prio=120 prev_state=R+ ==> next_comm=surfaceflinger next_pid=682 next_prio=112
          <idle>-0       [006] d..2. 253154.854018: sched_switch: prev_comm=swapper/6 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=CompositorGpuTh next_pid=5111 next_prio=116
  surfaceflinger-682     [004] d..2. 253154.854047: sched_switch: prev_comm=surfaceflinger prev_pid=682 prev_prio=112 prev_state=S ==> next_comm=traced next_pid=1308 next_prio=120
    binder:609_2-609     [003] d..3. 253154.854117: sched_waking: comm=decon0_kthread pid=297 prio=79 target_cpu=000
    binder:609_2-609     [003] d..4. 253154.854143: sched_wakeup: comm=decon0_kthread pid=297 prio=79 target_cpu=000
          <idle>-0       [000] dn.1. 253154.854143: cpu_idle: state=4294967295 cpu_id=0
 CompositorGpuTh-5111    [006] d..2. 253154.854157: sched_switch: prev_comm=CompositorGpuTh prev_pid=5111 prev_prio=116 prev_state=D ==> next_comm=swapper/6 next_pid=0 next_prio=120
          <idle>-0       [000] dNh4. 253154.854158: sched_waking: comm=CompositorGpuTh pid=5111 prio=116 target_cpu=006
          <idle>-0       [006] d..1. 253154.854159: cpu_idle: state=0 cpu_id=6
          <idle>-0       [000] dNh4. 253154.854160: sched_blocked_reason: pid=5111 iowait=0 caller=kbase_pm_wait_for_reset+0x64/0x18c [mali_kbase]
    binder:609_2-609     [003] ..... 253154.854161: tracing_mark_write: E|609
    binder:609_2-609     [003] ..... 253154.854173: tracing_mark_write: B|609|postAtomicCommit
          <idle>-0       [006] dn.1. 253154.854177: cpu_idle: state=4294967295 cpu_id=6
          <idle>-0       [000] dNh5. 253154.854177: sched_wakeup: comm=CompositorGpuTh pid=5111 prio=116 target_cpu=006
    binder:609_2-609     [003] ..... 253154.854178: tracing_mark_write: B|609|mHistogramMutex
    binder:609_2-609     [003] ..... 253154.854182: tracing_mark_write: E|609
          <idle>-0       [006] d..2. 253154.854183: sched_switch: prev_comm=swapper/6 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=CompositorGpuTh next_pid=5111 next_prio=116
    binder:609_2-609     [003] ..... 253154.854187: tracing_mark_write: E|609
          <idle>-0       [000] d..2. 253154.854195: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=decon0_kthread next_pid=297 next_prio=79
 CompositorGpuTh-5111    [006] d.h2. 253154.854200: sched_waking: comm=adpf_handler0 pid=743 prio=100 target_cpu=006
  decon0_kthread-297     [000] ..... 253154.854205: dma_fence_wait_start: driver=mali timeline=mali.timeline context=3091 seqno=1849
    binder:609_2-609     [003] ..... 253154.854208: tracing_mark_write: E|609
  decon0_kthread-297     [000] ..... 253154.854209: dma_fence_wait_end: driver=mali timeline=mali.timeline context=3091 seqno=1849
  decon0_kthread-297     [000] ..... 253154.854211: dma_fence_wait_start: driver=mali timeline=mali.timeline context=7 seqno=7758
  decon0_kthread-297     [000] ..... 253154.854213: dma_fence_wait_end: driver=mali timeline=mali.timeline context=7 seqno=7758
 CompositorGpuTh-5111    [006] d.h3. 253154.854222: sched_wakeup: comm=adpf_handler0 pid=743 prio=100 target_cpu=004
          traced-1308    [004] d..2. 253154.854241: sched_switch: prev_comm=traced prev_pid=1308 prev_prio=120 prev_state=R+ ==> next_comm=adpf_handler0 next_pid=743 next_prio=100
    binder:609_2-609     [003] ..... 253154.854253: tracing_mark_write: E|609
   adpf_handler0-743     [004] d..2. 253154.854295: sched_switch: prev_comm=adpf_handler0 prev_pid=743 prev_prio=100 prev_state=S ==> next_comm=traced next_pid=1308 next_prio=120
 CompositorGpuTh-5111    [006] d..1. 253154.854307: gpu_frequency: state=434000 gpu_id=0
 CompositorGpuTh-5111    [006] d..1. 253154.854308: gpu_frequency: state=251000 gpu_id=1
    binder:609_2-609     [003] ..... 253154.854325: binder_transaction: transaction=4267743 dest_node=0 dest_proc=606 dest_thread=606 reply=1 flags=0x0 code=0x0
    binder:609_2-609     [003] ..... 253154.854331: binder_transaction_alloc_buf: transaction=4267743 data_size=336 offsets_size=64 extra_buffers_size=112
 CompositorGpuTh-5111    [006] d..2. 253154.854331: sched_waking: comm=mali-cmar-backe pid=5109 prio=110 target_cpu=005
 CompositorGpuTh-5111    [006] d..3. 253154.854337: sched_wakeup: comm=mali-cmar-backe pid=5109 prio=110 target_cpu=005
          <idle>-0       [005] dn.1. 253154.854337: cpu_idle: state=4294967295 cpu_id=5
          traced-1308    [004] d..2. 253154.854340: sched_switch: prev_comm=traced prev_pid=1308 prev_prio=120 prev_state=S ==> next_comm=traced_probes next_pid=1307 next_prio=120
          <idle>-0       [005] d..2. 253154.854345: sched_switch: prev_comm=swapper/5 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=mali-cmar-backe next_pid=5109 next_prio=110
 CompositorGpuTh-5111    [006] ..... 253154.854356: tracing_mark_write: E|4880
    binder:609_2-609     [003] d..3. 253154.854365: sched_waking: comm=surfaceflinger pid=606 prio=97 target_cpu=003
    binder:609_2-609     [003] d..4. 253154.854379: sched_wakeup: comm=surfaceflinger pid=606 prio=97 target_cpu=003
    binder:609_2-609     [003] ..... 253154.854388: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
   traced_probes-1307    [004] d..2. 253154.854397: sched_switch: prev_comm=traced_probes prev_pid=1307 prev_prio=120 prev_state=S ==> next_comm=swapper/4 next_pid=0 next_prio=120
  decon0_kthread-297     [000] d.h1. 253154.854399: gpu_work_period: gpu_id=0 uid=10181 start_time_ns=184669405185629 end_time_ns=184669405251181 total_active_duration_ns=65552
          <idle>-0       [004] d..1. 253154.854403: cpu_idle: state=1 cpu_id=4
 mali-cmar-backe-5109    [005] d..2. 253154.854403: sched_switch: prev_comm=mali-cmar-backe prev_pid=5109 prev_prio=110 prev_state=S ==> next_comm=swapper/5 next_pid=0 next_prio=120
  decon0_kthread-297     [000] d.h4. 253154.854406: sched_waking: comm=mali_jd_thread pid=391 prio=97 target_cpu=001
          <idle>-0       [005] d..1. 253154.854407: cpu_idle: state=0 cpu_id=5
  decon0_kthread-297     [000] d.h5. 253154.854430: sched_wakeup: comm=mali_jd_thread pid=391 prio=97 target_cpu=001
          <idle>-0       [001] dn.1. 253154.854430: cpu_idle: state=4294967295 cpu_id=1
    binder:609_2-609     [003] ..... 253154.854436: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
    binder:609_2-609     [003] ..... 253154.854446: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
          <idle>-0       [001] d..2. 253154.854446: sched_switch: prev_comm=swapper/1 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=mali_jd_thread next_pid=391 next_prio=97
    binder:609_2-609     [003] d..2. 253154.854470: sched_switch: prev_comm=binder:609_2 prev_pid=609 prev_prio=97 prev_state=S ==> next_comm=surfaceflinger next_pid=606 next_prio=97
  mali_jd_thread-391     [001] d..3. 253154.854476: sched_waking: comm=mali-cmar-backe pid=5109 prio=110 target_cpu=005
  surfaceflinger-606     [003] ..... 253154.854481: binder_transaction_received: transaction=4267743
  mali_jd_thread-391     [001] d..4. 253154.854496: sched_wakeup: comm=mali-cmar-backe pid=5109 prio=110 target_cpu=001
