frame_number,intended_vsync_ns,expected_start_ns,expected_end_ns,actual_present_ns,is_jank,delay_ms
4043951,253127544909196,253127544909196,253127561509196,253127547793823,0,-13.715373
4043958,253127561638306,253127561638306,253127578238306,253127565474039,0,-12.764267
4043965,253127578339645,253127578339645,253127594939645,253127582708089,0,-12.231556
4043972,253127595039655,253127595039655,253127611639655,253127598696654,0,-12.943001
4043979,253127611741952,253127611741952,253127628341952,253127615302937,0,-13.039015
4043986,253127628445688,253127628445688,253127645045688,253127632034668,0,-13.011020
4043993,253127645144913,253127645144913,253127661744913,253127649359741,0,-12.385172
4044000,253127661844053,253127661844053,253127678444053,253127665824381,0,-12.619672
4044007,253127678542683,253127678542683,253127695142683,253127681675496,0,-13.467187
4044014,253127695242608,253127695242608,253127711842608,253127699006307,0,-12.836301
4044021,253127711945938,253127711945938,253127728545938,253127715896444,0,-12.649494
4044028,253127728647657,253127728647657,253127745247657,253127732336060,0,-12.911597
4044035,253127745352240,253127745352240,253127761952240,253127749503214,0,-12.449026
4044042,253127762058563,253127762058563,253127778658563,253127765464559,0,-13.194004
4044049,253127778762910,253127778762910,253127795362910,253127781991984,0,-13.370926
4044056,253127795469546,253127795469546,253127812069546,253127798861532,0,-13.208014
4044063,253127812188479,253127812188479,253127828788479,253127815291870,0,-13.496609
4044070,253127828899052,253127828899052,253127845499052,253127832135660,0,-13.363392
4044077,253127845610318,253127845610318,253127862210318,253127849801026,0,-12.409292
4044156,253128046154460,253128046154460,253128062754460,253128049378377,0,-13.376083
4044169,253128062864123,253128062864123,253128079464123,253128066072022,0,-13.392101
4044182,253128079573744,253128079573744,253128096173744,253128082603515,0,-13.570229
4044195,253128096292088,253128096292088,253128112892088,253128100426025,0,-12.466063
4044208,253128113012692,253128113012692,253128129612692,253128116272868,0,-13.339824
4044221,253128129727609,253128129727609,253128146327609,253128132689168,0,-13.638441
4044234,253128146442447,253128146442447,253128163042447,253128149501953,0,-13.540494
4044247,253128163151659,253128163151659,253128179751659,253128166251994,0,-13.499665
4044260,253128179866252,253128179866252,253128196466252,253128183140747,0,-13.325505
4044273,253128196593315,253128196593315,253128213193315,253128200200318,0,-12.992997
4044286,253128213302967,253128213302967,253128229902967,253128216929200,0,-12.973767
4044299,253128230013620,253128230013620,253128246613620,253128233721720,0,-12.891900
4044312,253128246723266,253128246723266,253128263323266,253128249734619,0,-13.588647
4044325,253128263434984,253128263434984,253128280034984,253128266754801,0,-13.280183
4044338,253128280144969,253128280144969,253128296744969,253128283280884,0,-13.464085
4044351,253128296867322,253128296867322,253128313467322,253128300300700,0,-13.166622
4044364,253128313577855,253128313577855,253128330177855,253128316585246,0,-13.592609
4044377,253128330287688,253128330287688,253128346887688,253128333272014,0,-13.615674
4044390,253128346997145,253128346997145,253128363597145,253128350242146,0,-13.354999
4044403,253128363707723,253128363707723,253128380307723,253128366918864,0,-13.388859
4044416,253128380417826,253128380417826,253128397017826,253128383638754,0,-13.379072
4044429,253128397129817,253128397129817,253128413729817,253128400525391,0,-13.204426
4044442,253128413841978,253128413841978,253128430441978,253128417682413,0,-12.759565
4044455,253128430553537,253128430553537,253128447153537,253128433566366,0,-13.587171
4044468,253128447262257,253128447262257,253128463862257,253128450711670,0,-13.150587
4044481,253128463967804,253128463967804,253128480567804,253128467032755,0,-13.535049
4044494,253128480674884,253128480674884,253128497274884,253128484333863,0,-12.941021
4044513,253128497382674,253128497382674,253128513982674,253128501465250,0,-12.517424
4044520,253128514092885,253128514092885,253128530692885,253128517582357,0,-13.110528
4044527,253128530812581,253128530812581,253128547412581,253128535473714,0,-11.938867
4044534,253128547522529,253128547522529,253128564122529,253128550929036,0,-13.193493
4044541,253128564230898,253128564230898,253128580830898,253128567861287,0,-12.969611
4044548,253128580964391,253128580964391,253128597564391,253128583847778,0,-13.716613
4044555,253128597694715,253128597694715,253128614294715,253128601437012,0,-12.857703
4044562,253128614397218,253128614397218,253128630997218,253128617522665,0,-13.474553
4044569,253128631141260,253128631141260,253128647741260,253128634112631,0,-13.628629
4044576,253128647846517,253128647846517,253128664446517,253128651136434,0,-13.310083
4044583,253128664550337,253128664550337,253128681150337,253128668143799,0,-13.006538
4044590,253128681252094,253128681252094,253128697852094,253128684493652,0,-13.358442
4044597,253128697956526,253128697956526,253128714556526,253128702823446,0,-11.733080
4044604,253128714661520,253128714661520,253128731261520,253128717691854,0,-13.569666
4044611,253128731367915,253128731367915,253128747967915,253128736451457,0,-11.516458
4044618,253128748073298,253128748073298,253128764673298,253128751823690,0,-12.849608
4044625,253128764780232,253128764780232,253128781380232,253128768043905,0,-13.336327
4044638,253128781486685,253128781486685,253128798086685,253128785332397,0,-12.754288
4044651,253128798190860,253128798190860,253128814790860,253128803086873,0,-11.703987
4044658,253128814896195,253128814896195,253128831496195,253128817860026,0,-13.636169
4044665,253128831605017,253128831605017,253128848205017,253128835057455,0,-13.147562
4044672,253128848304280,253128848304280,253128864904280,253128852048870,0,-12.855410
4044679,253128865007653,253128865007653,253128881607653,253128869298055,0,-12.309598
