# tracer: nop
#
# entries-in-buffer/entries-written: 1523/181595   #P:8
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
  decon0_kthread-294     [002] ..... 86325.354598: dma_fence_wait_end: driver=mali timeline=mali.timeline context=22776 seqno=8255
  BckgrndExec HP-707     [000] ..... 86325.355660: binder_transaction: transaction=3913180 dest_node=3487661 dest_proc=31215 dest_thread=0 reply=0 flags=0x11 code=0x1
  BckgrndExec HP-707     [000] ..... 86325.355768: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
     thermal_BIG-193     [000] ..... 86325.360740: thermal_temperature: thermal_zone=BIG id=9 temp_prev=61000 temp=62000
     thermal_BIG-193     [000] ..... 86325.360918: thermal_temperature: thermal_zone=BIG id=9 temp_prev=62000 temp=62000
     thermal_BIG-193     [000] ..... 86325.361935: thermal_temperature: thermal_zone=BIG id=9 temp_prev=62000 temp=62000
     thermal_BIG-193     [000] ..... 86325.362039: thermal_temperature: thermal_zone=BIG id=9 temp_prev=62000 temp=62000
       Thread-76-31418   [007] ..... 86325.368336: binder_transaction: transaction=3913181 dest_node=3492248 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
       Thread-76-31418   [007] ..... 86325.368366: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    binder:600_3-1965    [000] ..... 86325.368387: binder_transaction_received: transaction=3913181
    binder:600_3-1965    [000] ..... 86325.368440: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
 UnityGfxDeviceW-31394   [007] ..... 86325.370494: binder_transaction: transaction=3913186 dest_node=535 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x8
 UnityGfxDeviceW-31394   [007] ..... 86325.370537: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    binder:600_3-1965    [002] ..... 86325.370565: binder_transaction_received: transaction=3913186
    binder:600_3-1965    [002] ..... 86325.370865: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
    kworker/2:1H-7183    [002] ..... 86325.376033: block_rq_issue: 8,0 R 4096 () 130215872 + 8 [kworker/2:1H]
    Job.worker 0-31376   [002] ..s.. 86325.377089: block_rq_complete: 8,0 R () 130215872 + 8 [0]
       Thread-76-31418   [000] ..... 86325.385434: binder_transaction: transaction=3913189 dest_node=3492248 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
       Thread-76-31418   [000] ..... 86325.385523: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
     thermal_BIG-193     [002] ..... 86325.387259: thermal_temperature: thermal_zone=BIG id=9 temp_prev=63000 temp=65000
