# tracer: nop
#
# entries-in-buffer/entries-written: 1874/215392   #P:8
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
  InputProcessor-2285    [007] ..... 86703.420672: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
 android.hardwar-1982    [007] ..... 86703.420684: binder_transaction_received: transaction=4083808
 android.hardwar-1982    [007] ..... 86703.420740: binder_transaction: transaction=4083809 dest_node=0 dest_proc=1209 dest_thread=2285 reply=1 flags=0x0 code=0x0
 android.hardwar-1982    [007] ..... 86703.420753: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 android.hardwar-1982    [007] ..... 86703.420758: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  InputProcessor-2285    [007] ..... 86703.420766: binder_transaction_received: transaction=4083809
  HwBinder:910_4-1884    [004] ..... 86703.422976: binder_transaction_received: transaction=4083811
  HwBinder:910_4-1884    [004] ..... 86703.423043: binder_transaction: transaction=4083812 dest_node=0 dest_proc=981 dest_thread=8219 reply=1 flags=0x0 code=0x0
  HwBinder:910_4-1884    [004] ..... 86703.423071: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
  HwBinder:910_4-1884    [004] ..... 86703.423080: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
    binder:981_A-8219    [004] ..... 86703.423093: binder_transaction_received: transaction=4083812
    binder:981_A-8219    [004] ..... 86703.423145: binder_transaction: transaction=4083813 dest_node=4018048 dest_proc=910 dest_thread=0 reply=0 flags=0x10 code=0x23
    binder:981_A-8219    [004] ..... 86703.423164: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
  InputProcessor-2285    [007] ..... 86703.425780: binder_transaction: transaction=4083815 dest_node=12527 dest_proc=1982 dest_thread=0 reply=0 flags=0x10 code=0x1
  InputProcessor-2285    [007] ..... 86703.425793: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
 android.hardwar-1982    [007] ..... 86703.425801: binder_transaction_received: transaction=4083815
 android.hardwar-1982    [007] ..... 86703.425848: binder_transaction: transaction=4083816 dest_node=0 dest_proc=1209 dest_thread=2285 reply=1 flags=0x0 code=0x0
 android.hardwar-1982    [007] ..... 86703.425860: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 android.hardwar-1982    [007] ..... 86703.425864: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  InputProcessor-2285    [007] ..... 86703.425871: binder_transaction_received: transaction=4083816
  InputProcessor-2285    [007] ..... 86703.430994: binder_transaction: transaction=4083817 dest_node=12527 dest_proc=1982 dest_thread=0 reply=0 flags=0x10 code=0x1
  InputProcessor-2285    [007] ..... 86703.431002: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
 android.hardwar-1982    [007] ..... 86703.431008: binder_transaction_received: transaction=4083817
 android.hardwar-1982    [007] ..... 86703.431029: binder_transaction: transaction=4083818 dest_node=0 dest_proc=1209 dest_thread=2285 reply=1 flags=0x0 code=0x0
 android.hardwar-1982    [007] ..... 86703.431040: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 android.hardwar-1982    [007] ..... 86703.431044: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  InputProcessor-2285    [007] ..... 86703.431050: binder_transaction_received: transaction=4083818
    binder:600_2-650     [007] ..... 86703.435057: binder_transaction_received: transaction=4083819
    binder:600_2-650     [007] ..... 86703.435080: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
    binder:600_1-649     [007] ..... 86703.435413: binder_transaction_received: transaction=4083821
    binder:600_1-649     [007] ..... 86703.435425: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  InputProcessor-2285    [007] ..... 86703.436309: binder_transaction: transaction=4083822 dest_node=12527 dest_proc=1982 dest_thread=0 reply=0 flags=0x10 code=0x1
  InputProcessor-2285    [007] ..... 86703.436320: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
 android.hardwar-1982    [007] ..... 86703.436330: binder_transaction_received: transaction=4083822
 android.hardwar-1982    [007] ..... 86703.436358: binder_transaction: transaction=4083823 dest_node=0 dest_proc=1209 dest_thread=2285 reply=1 flags=0x0 code=0x0
 android.hardwar-1982    [007] ..... 86703.436373: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 android.hardwar-1982    [007] ..... 86703.436378: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  InputProcessor-2285    [007] ..... 86703.436386: binder_transaction_received: transaction=4083823
    binder:600_2-650     [004] ..... 86703.451644: binder_transaction_received: transaction=4083829
    binder:600_2-650     [004] ..... 86703.451668: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
    binder:600_2-650     [006] ..... 86703.452073: binder_transaction_received: transaction=4083830
    binder:600_2-650     [006] ..... 86703.452091: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  InputProcessor-2285    [004] ..... 86703.452200: binder_transaction: transaction=4083832 dest_node=12527 dest_proc=1982 dest_thread=0 reply=0 flags=0x10 code=0x1
  InputProcessor-2285    [004] ..... 86703.452229: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
     thermal_BIG-193     [006] ..... 86703.452258: thermal_temperature: thermal_zone=BIG id=9 temp_prev=60000 temp=60000
     thermal_BIG-193     [006] ..... 86703.452355: thermal_temperature: thermal_zone=BIG id=9 temp_prev=60000 temp=60000
  thermal_LITTLE-219     [006] ..... 86703.452896: thermal_temperature: thermal_zone=LITTLE id=11 temp_prev=60000 temp=58000
  InputProcessor-2285    [006] ..... 86703.458044: binder_transaction: transaction=4083837 dest_node=12527 dest_proc=1982 dest_thread=0 reply=0 flags=0x10 code=0x1
  InputProcessor-2285    [006] ..... 86703.458061: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
 android.hardwar-1982    [006] ..... 86703.458073: binder_transaction_received: transaction=4083837
 android.hardwar-1982    [006] ..... 86703.458119: binder_transaction: transaction=4083838 dest_node=0 dest_proc=1209 dest_thread=2285 reply=1 flags=0x0 code=0x0
 android.hardwar-1982    [006] ..... 86703.458139: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 android.hardwar-1982    [006] ..... 86703.458144: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  InputProcessor-2285    [006] ..... 86703.458154: binder_transaction_received: transaction=4083838
  InputProcessor-2285    [006] ..... 86703.462956: binder_transaction: transaction=4083839 dest_node=12527 dest_proc=1982 dest_thread=0 reply=0 flags=0x10 code=0x1
  InputProcessor-2285    [006] ..... 86703.462971: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
 android.hardwar-1982    [006] ..... 86703.462979: binder_transaction_received: transaction=4083839
 android.hardwar-1982    [006] ..... 86703.463013: binder_transaction: transaction=4083840 dest_node=0 dest_proc=1209 dest_thread=2285 reply=1 flags=0x0 code=0x0
 android.hardwar-1982    [006] ..... 86703.463028: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 android.hardwar-1982    [006] ..... 86703.463032: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  InputProcessor-2285    [006] ..... 86703.463040: binder_transaction_received: transaction=4083840
  InputProcessor-2285    [006] ..... 86703.468101: binder_transaction: transaction=4083841 dest_node=12527 dest_proc=1982 dest_thread=0 reply=0 flags=0x10 code=0x1
  InputProcessor-2285    [006] ..... 86703.468113: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
 android.hardwar-1982    [006] ..... 86703.468122: binder_transaction_received: transaction=4083841
 android.hardwar-1982    [006] ..... 86703.468155: binder_transaction: transaction=4083842 dest_node=0 dest_proc=1209 dest_thread=2285 reply=1 flags=0x0 code=0x0
 android.hardwar-1982    [006] ..... 86703.468169: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 android.hardwar-1982    [006] ..... 86703.468174: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  InputProcessor-2285    [006] ..... 86703.468181: binder_transaction_received: transaction=4083842
    binder:600_2-650     [004] ..... 86703.468229: binder_transaction_received: transaction=4083843
    binder:600_2-650     [004] ..... 86703.468250: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
 cent.tmgp.sgame-31215   [007] ..... 86703.468359: binder_transaction: transaction=4083844 dest_node=3487205 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 cent.tmgp.sgame-31215   [007] ..... 86703.468378: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
  InputProcessor-2285    [006] ..... 86703.473626: binder_transaction: transaction=4083846 dest_node=12527 dest_proc=1982 dest_thread=0 reply=0 flags=0x10 code=0x1
  InputProcessor-2285    [006] ..... 86703.473637: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
 android.hardwar-1982    [006] ..... 86703.473645: binder_transaction_received: transaction=4083846
 android.hardwar-1982    [006] ..... 86703.473676: binder_transaction: transaction=4083847 dest_node=0 dest_proc=1209 dest_thread=2285 reply=1 flags=0x0 code=0x0
