frame_index,frame_token,deadline_missed,frame_time_ms,thread_count,on_cpu_ms,runnable_wait_ms,top_thread,top_thread_score_ns
235,9428446,0,16.187,109,131.664,62.216,tracepilot:18002,20600000
236,9428453,0,16.187,82,103.875,17.251,tracepilot:18002,20600000
237,9428466,0,16.254,111,95.563,31.06,tracepilot:18002,20600000
238,9428479,0,16.069,99,86.421,19.683,tracepilot:18002,20441795
239,9428492,0,16.248,84,67.065,27.337,ReferenceQueueD:10047,20434839
240,9428505,0,16.233,126,103.243,52.998,tracepilot:18002,18070000
241,9428518,0,16.197,80,46.935,17.512,tracepilot:18002,18392257
242,9428531,0,16.153,96,72.656,26.046,tracepilot:18002,18594186
243,9428544,0,16.264,102,81.38,28.855,tracepilot:18002,18574133
244,9428569,0,16.205,94,62.514,21.814,tracepilot:18002,18467934
245,9428606,0,16.127,93,63.735,18.904,tracepilot:18002,18354782
246,9428643,0,16.206,89,58.084,18.092,tracepilot:18002,18208917
247,9428680,0,16.304,91,52.383,25.683,tracepilot:18002,18157041
248,9428717,0,16.227,88,60.785,27.627,tracepilot:18002,18113527
249,9428754,0,16.354,99,69.966,29.868,tracepilot:18002,18270323
250,9428791,0,16.374,99,72.73,32.851,tracepilot:18002,18529536
251,9428828,0,16.24,105,83.443,31.519,tracepilot:18002,17878375
252,9428865,0,16.427,108,74.925,28.988,tracepilot:18002,18441722
253,9428902,0,16.26,93,57.304,26.203,tracepilot:18002,18040259
254,9428940,0,16.188,105,58.863,29.856,tracepilot:18002,18612590
255,9428978,0,16.244,105,77.038,28.585,tracepilot:18002,18453787
256,9429016,0,16.252,104,69.24,37.376,tracepilot:18002,18374830
257,9429054,0,16.216,95,70.098,23.213,tracepilot:18002,18390692
258,9429073,0,16.278,100,74.382,27.408,tracepilot:18002,18508718
259,9429129,0,16.253,109,64.734,33.038,tracepilot:18002,18363741
260,9429148,0,16.348,107,96.648,48.121,tracepilot:18002,18455950
261,9429185,0,16.146,92,73.027,27.563,tracepilot:18002,18351426
262,9429222,0,16.204,104,80.642,41.584,tracepilot:18002,18623110
263,9429259,0,16.233,148,103.967,70.64,tracepilot:18002,18615220
264,9429297,0,16.199,86,84.142,27.791,BG Thread #1:10422,20424341
265,9429334,0,16.325,105,79.578,52.081,tracepilot:18002,18530171
266,9429371,0,16.239,99,71.007,30.637,tracepilot:18002,18538439
267,9429408,0,16.242,98,73.869,31.572,tracepilot:18002,18814876
268,9429445,0,16.274,106,76.541,37.059,tracepilot:18002,18333807
269,9429482,0,16.231,87,58.334,25.575,tracepilot:18002,18526927
270,9429519,0,16.132,107,82.618,29.364,tracepilot:18002,18568579
271,9429556,0,16.14,113,90.154,55.879,tracepilot:18002,18454406
272,9429593,0,16.157,109,63.997,28.608,tracepilot:18002,18714886
273,9429630,0,16.223,118,71.495,38.976,tracepilot:18002,18287961
274,9429667,0,16.152,96,80.089,49.633,tracepilot:18002,17758939
275,9429704,0,16.271,94,85.394,36.21,tracepilot:18002,18450598
276,9429741,0,16.191,84,51.403,23.169,tracepilot:18002,18416453
277,9429778,0,16.198,90,59.809,26.581,tracepilot:18002,18084838
278,9429815,0,16.17,94,59.003,29.107,tracepilot:18002,18592268
